Year,Kind,Topic,my role in topic,project,my role in project,related person,time
2019,Biz,MMO Squad,dev,DSP migration,all,,January
2019,Biz,MMO Squad,dev,debug tool for Deals,all,,April
2019,Biz,MMO Squad,dev,debug tool testing framework design,all,,June
2019,Biz,MMO Squad,lead,DAL adoption for partner service,"design, part of coding and testing",,Feb-May
2019,Biz,MMO Squad,dev,automation testing containerization with docker-switch for partner service,all,,January
2019,Biz,MMO Squad,dev,creative ingest dashboard,"design, part of coding",,August
2019,Tech,Dev-ops,dev,Kage: a K8S sandbox solution based on namespace,all,,Jan-Jul
2019,Tech,Dev-ops,dev,Docker-switch: dev and testing environment containers,"design, part of coding and testing",,Jan-Sep
2019,Tech,BSAP,dev,UUID service,"part of design, coding, and testing",,April-May
2019,Tech,BSAP,dev,unit test practices,"design, part of coding and documentation",,October
2019,Tech,BSAP,dev,distributed transaction,"part of design, coding, testing, documentations",,Jul-Sep
2019,Tech,etc,dev,ElasticAlert alternatives (Grafana alerts),deploy Grafana; write alerts,,June
2019,Others,Internship,mentor,mentoring for summer intern,all,,Jun-Aug
2019,Tech,Hackathon,dev,GODIVA,"service dependency graph
golang package dependency graph",,May-Jul
2019,Tech,Hackathon,dev,/whatis: a slack command to search terms,"top usage charts
handle same words on different sources",,Jan-Jul
2019,Tech,Hackathon,dev,"ITO-150 Sphinx, a slack command dispatcher","design, coding, testing",,July
2019,Tech,Hackathon,dev,"ITO-142 waiter, a dependency middleware for SOA system deployments",all,,July
2019,Tech,T2,dev,/t2 schedule message sender for Slack,all,,
2019,Tech,T2,dev,mini-ui: move lt_asset tables from mysql to DynamoDB and Solr,all,,October
2019,Tech,T2,dev,mini-ui: change paginations to load millions of child assets,all,,October
2019,Biz,T2,dev,mini-ui: rogue site sections: a tool to find unexpected site section deliveries caused by mirror,all,,Oct-Nov
2019,Tech,T2,dev,production quality dashboard: code optimizations,all,,October
2022,Biz,BDW,key contributor,supporting flash forecast,investigation,"lxu, lljiang",Q2
2022,Biz,BDW,key contributor,filter eligible buyers by ES aggregation,design and coding,"pelbaor, zzhang",Jan
2022,Biz,Bidder (SSP Order),contributor,unique key change,design and coding,whuang,Jun
2022,Biz,Bidder (SSP Order),contributor,test network isolation,coding,xblv,Jul
2022,Biz,Bidder (SSP Order),contributor,editing SSP orders,design and coding,yezhu,Mar
2022,Biz,Bidder (SSP Order),contributor,list linked placement,design and coding,yezhu,Jan
2022,Biz,Creative Approval,contributor,show DS audience definitions on order,,mstrang,Q3
2022,Biz,Creative Approval,contributor,investigating on MPP approval,investigation,eho,Q2
2022,Biz,LMD,key contributor,error on unfinished onboarding,coding,ssdeng,Apr
2022,Biz,MPP Migration,key contributor,Marketplace Topology,design and coding,"haochang, yezhu, jxcao","Q2, Q4"
2022,Biz,MPP Migration,key contributor,Non-G listing support content duration,coding,yezhu,Jun
2022,Biz,Order Revision,key contributor,"A revision framework for MPP revisions, both seller and buyer",design and coding,"yezhu, haochang",Q3
2022,Biz,Order Revision,key contributor,Support CM revisions,design and coding,"jsurena, pengli, apark",Q4
2022,Biz,Political Pilot Support,key contributor,write internal APIs to reduce onboarding ESC efforts,design and coding,,Q1
2022,Biz,Political Pilot Support,key contributor,work with SE to refine onboarding process,write wiki and discussions,cblanco,Apr
2022,Biz,Political Pilot Support,key contributor,Project briefing to Dr. Cai,MKPL tech part,haochang,Feb
2022,Biz,Political Pilot Support,key contributor,Technical sharing to Identity team,MKPL part,zrsun,Jul
2022,Biz,MKPL Common,reviewer,SA Visibility Framework,Code review and approach discussions,zzhang,Jun
2022,Tech,Access Control,contributor,access control by client,design and coding,"kxpi, wfli",Aug
2022,Tech,Bingo,contributor,lambda url onboarding and usage,investigation and prototyping,"lding, ycao",Aug
2022,Tech,Bingo,contributor,add app - service tag,design and coding,hrli,Jun
2022,Tech,Bingo,contributor,client usage analysis,investigate and write wiki,qiwang,Mar
2022,Tech,Cache,contributor,Blinc service,Approach design (DDB with ttl),xblv,Q1
2022,Tech,Eng practice,contributor,code review practice,investigate and write wiki,kxpi,Jul
2022,Tech,Cost Efficiency,contributor,unifiy protocols of the same service,investigate and write adoption code for MKPL services,rfma,Q1
2022,Tech,Cost Efficiency,contributor,HPA by QPS,"design, coding and test in uuid service",rfma,Jun
2022,Tech,Elastic Search,key contributor,support aggregation by a single field,design and coding,zzhang,Jan
2022,Tech,Elastic Search,key contributor,"a major version v2, add retry and timeout, use opensearch client sdk",design and coding,kxpi,Q4
2022,Tech,Elastic Search,key contributor,sync ES data with CI / CD,consultation,"jdu, nyang",Q2
2022,Tech,Intern Projects,"interviewer,
consultant",Docker alternatives,consultation,wtang,Q3
